date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:20	125592/125592	---M-Z	200	added ('OK')	text/html	etag:%221ea98-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/?storefront=envato-elements	/home/anmol-singh/websites/robo%20nft/themesflat.co/html/cyfoniihtml/index04b9.html	(from )
13:09:20	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2007:39:18%20GMT	https://themesflat.co/robots.txt		(from )
13:09:20	18454/18454	---M-Z	200	added ('OK')	text/css	etag:W/%224816-QhDBdD2BY5n3wLn4Nl+ruy6ZEAk%22	https://cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	/home/anmol-singh/websites/robo%20nft/cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	(from https://themesflat.co/html/cyfoniihtml/?storefront=envato-elements)
13:09:22	26053/26053	---M--	200	added ('OK')	text/css	etag:%2265c5-5e7e6e9f20540%22	https://themesflat.co/html/cyfoniihtml/app/dist/aos.css	/home/anmol-singh/websites/robo%20nft/themesflat.co/html/cyfoniihtml/app/dist/aos.css	(from https://themesflat.co/html/cyfoniihtml/?storefront=envato-elements)
13:09:23	62359/62359	---M--	200	added ('OK')	text/css	etag:%22f397-5c16925798100%22	https://themesflat.co/html/cyfoniihtml/app/dist/animate.css	/home/anmol-singh/websites/robo%20nft/themesflat.co/html/cyfoniihtml/app/dist/animate.css	(from https://themesflat.co/html/cyfoniihtml/?storefront=envato-elements)
13:09:24	109994/109994	---M--	200	added ('OK')	text/css	etag:%221adaa-5ee32d2904900%22	https://themesflat.co/html/cyfoniihtml/app/dist/app.css	/home/anmol-singh/websites/robo%20nft/themesflat.co/html/cyfoniihtml/app/dist/app.css	(from https://themesflat.co/html/cyfoniihtml/?storefront=envato-elements)
13:09:25	11567/11567	---M--	200	added ('OK')	image/png	etag:%222d2f-5e7ffe38e8c00%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/favicon.png	/home/anmol-singh/websites/robo%20nft/themesflat.co/html/cyfoniihtml/assets/images/logo/favicon.png	(from https://themesflat.co/html/cyfoniihtml/?storefront=envato-elements)
13:09:26	125592/125592	---M-Z	200	added ('OK')	text/html	etag:%221ea98-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/index.html	/home/anmol-singh/websites/robo%20nft/themesflat.co/html/cyfoniihtml/index.html	(from https://themesflat.co/html/cyfoniihtml/?storefront=envato-elements)
13:09:27	1534/1534	---M--	200	added ('OK')	image/png	etag:%225fe-5e7ffe5584f80%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/logo.png	/home/anmol-singh/websites/robo%20nft/themesflat.co/html/cyfoniihtml/assets/images/logo/logo.png	(from https://themesflat.co/html/cyfoniihtml/?storefront=envato-elements)
13:09:28	108788/108788	---M-Z	200	added ('OK')	text/html	etag:%221a8f4-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/home-v2.html	/home/anmol-singh/websites/robo%20nft/themesflat.co/html/cyfoniihtml/home-v2.html	(from https://themesflat.co/html/cyfoniihtml/?storefront=envato-elements)
